ID	DOCULECT	REGION	CONCEPT	DOMAIN	VALUE	COMMENT	DONOR
1	Russian_Dict	Other_Dict	the watermelon	Agriculture and vegetation	арбуз		rus
2	Russian_Dict	Other_Dict	the barrel	Basic actions and technology	бочка		rus
3	Russian_Dict	Other_Dict	the bucket	Basic actions and technology	ведро		rus
4	Russian_Dict	Other_Dict	the pea	Agriculture and vegetation	горох		rus
5	Russian_Dict	Other_Dict	the pear	Agriculture and vegetation	груша		rus
6	Russian_Dict	Other_Dict	the caterpillar	Animals	гусеница		rus
7	Russian_Dict	Other_Dict	the melon	Agriculture and vegetation	дыня		rus
8	Russian_Dict	Other_Dict	the cabbage	Food and drink	капуста	кочанная)	rus
9	Russian_Dict	Other_Dict	the carrot	Agriculture and vegetation	морковь		rus
10	Russian_Dict	Other_Dict	the rust	Basic actions and technology	ржавчина		rus
11	Russian_Dict	Other_Dict	the co-father-in-law	Kinship	сват		rus
12	Russian_Dict	Other_Dict	the father-in-law	Kinship	свёкор		rus
13	Russian_Dict	Other_Dict	the father-in-law	Kinship	тесть		rus
14	Russian_Dict	Other_Dict	the fairy tale	Speech and language	сказка		rus
15	Russian_Dict	Other_Dict	the violin	Speech and language	каманча		rus
16	Russian_Dict	Other_Dict	the plum	Agriculture and vegetation	слива		rus
17	Russian_Dict	Other_Dict	the herd	Animals	стадо	овец)	rus
18	Russian_Dict	Other_Dict	the mother-in-law	Kinship	тёща		rus
19	Russian_Dict	Other_Dict	the mother-in-law	Kinship	свекровь		rus
20	Russian_Dict	Other_Dict	the rosary	Religion and belief	четки		rus
21	Russian_Dict	Other_Dict	the whip	Agriculture and vegetation	кнут		rus
22	Russian_Dict	Other_Dict	the whip	Agriculture and vegetation	хлыст	для лошади)	rus
23	Russian_Dict	Other_Dict	the sugar	Food and drink	сахар		rus
24	Russian_Dict	Other_Dict	the soap	Clothing and grooming	мыло		rus
25	Russian_Dict	Other_Dict	the straw	Agriculture and vegetation	солома		rus
26	Russian_Dict	Other_Dict	the wine	Food and drink	вино		rus
27	Russian_Dict	Other_Dict	the table	The house	стол		rus
28	Russian_Dict	Other_Dict	the paper	Speech and language	бумага		rus
29	Russian_Dict	Other_Dict	the shop/store	Possession	магазин		rus
30	Russian_Dict	Other_Dict	the school	Cognition	школа		rus
31	Russian_Dict	Other_Dict	the mule	Animals	мул		rus
32	Russian_Dict	Other_Dict	the oats	Agriculture and vegetation	овёс	чем кормят лошадей)	rus
33	Russian_Dict	Other_Dict	the pencil	Basic actions and technology	карандаш		rus
34	Russian_Dict	Other_Dict	the turnip	Agriculture and vegetation	репа		rus
35	Russian_Dict	Other_Dict	the brick	The house	кирпич		rus
36	Russian_Dict	Other_Dict	the tobacco	Agriculture and vegetation	табак		rus
37	Russian_Dict	Other_Dict	the towel	Clothing and grooming	полотенце		rus
38	Russian_Dict	Other_Dict	Saturday	Time	суббота		rus
39	Russian_Dict	Other_Dict	the pepper	Food and drink	перец	черный)	rus
40	Russian_Dict	Other_Dict	the lion	Animals	лев		rus
41	Russian_Dict	Other_Dict	the number	Modern world	цифра		rus
42	Russian_Dict	Other_Dict	the number	Modern world	число		rus
43	Russian_Dict	Other_Dict	the lamp or torch	The house	фонарик		rus
44	Russian_Dict	Other_Dict	the lamp or torch	The house	лампа		rus
45	Russian_Dict	Other_Dict	the week	Time	неделя		rus
46	Russian_Dict	Other_Dict	the candle	The house	свеча		rus
47	Russian_Dict	Other_Dict	the glass	Basic actions and technology	стекло		rus
48	Russian_Dict	Other_Dict	the rice	Agriculture and vegetation	рис		rus
49	Russian_Dict	Other_Dict	the cup	Food and drink	чашка		rus
50	Russian_Dict	Other_Dict	Thursday	Time	четверг		rus
51	Russian_Dict	Other_Dict	the bottle	Modern world	бутылка		rus
52	Russian_Dict	Other_Dict	the pipe	Agriculture and vegetation	трубка курительная		rus
53	Russian_Dict	Other_Dict	the veil	Clothing and grooming	платок которым закрывают лицо невесты		rus
54	Russian_Dict	Other_Dict	the veil	Clothing and grooming	фата		rus
55	Russian_Dict	Other_Dict	the pocket	Clothing and grooming	карман		rus
56	Russian_Dict	Other_Dict	the colour/color	Sense perception	цвет		rus
57	Russian_Dict	Other_Dict	the gun	Warfare and hunting	ружьё		rus
58	Russian_Dict	Other_Dict	the copper	Basic actions and technology	медь		rus
59	Russian_Dict	Other_Dict	the letter	Modern world	письмо		rus
60	Russian_Dict	Other_Dict	the gold	Basic actions and technology	золото		rus
61	Russian_Dict	Other_Dict	Friday	Time	пятница		rus
62	Russian_Dict	Other_Dict	the ball	Spatial relations	мяч		rus
63	Russian_Dict	Other_Dict	the ball	Spatial relations	шар		rus
64	Russian_Dict	Other_Dict	the window	The house	окно		rus
65	Russian_Dict	Other_Dict	the trousers	Clothing and grooming	брюки		rus
66	Russian_Dict	Other_Dict	the chain	Basic actions and technology	цепь		rus
67	Russian_Dict	Other_Dict	the fork	Food and drink	вилка		rus
68	Russian_Dict	Other_Dict	Wednesday	Time	среда		rus
69	Russian_Dict	Other_Dict	the reindeer/caribou	Animals	олень		rus
70	Russian_Dict	Other_Dict	the time	Time	время		rus
71	Russian_Dict	Other_Dict	the money	Possession	деньги		rus
72	Russian_Dict	Other_Dict	Monday	Time	понедельник		rus
73	Russian_Dict	Other_Dict	the soup	Food and drink	суп		rus
74	Russian_Dict	Other_Dict	the lead	Basic actions and technology	свинец	из чего пули)	rus
75	Russian_Dict	Other_Dict	Tuesday	Time	вторник		rus
76	Russian_Dict	Other_Dict	the scythe	Agriculture and vegetation	коса		rus
77	Russian_Dict	Other_Dict	the sickle	Modern world	серп		rus
78	Russian_Dict	Other_Dict	the spectacles/glasses	Modern world	очки		rus
79	Russian_Dict	Other_Dict	the paint	Basic actions and technology	краска		rus
80	Russian_Dict	Other_Dict	the prison	Law	тюрьма		rus
81	Russian_Dict	Other_Dict	the silver	Basic actions and technology	серебро		rus
82	Russian_Dict	Other_Dict	the lock	The house	замок	навесной)	rus
83	Russian_Dict	Other_Dict	the mortar(2)	The house	известковый раствор		rus
84	Russian_Dict	Other_Dict	the cross	Spatial relations	крест		rus
85	Russian_Dict	Other_Dict	the fist	The body	кулак		rus
86	Russian_Dict	Other_Dict	the tiger	Spatial relations	тигр		rus
87	Russian_Dict	Other_Dict	the scabies	The body	чесотка		rus
88	Russian_Dict	Other_Dict	the joke	Speech and language	шутка		rus
89	Russian_Dict	Other_Dict	the spade	Agriculture and vegetation	лопата		rus
90	Russian_Dict	Other_Dict	Sunday	Time	воскресенье		rus
91	Russian_Dict	Other_Dict	the scissors or shears	Basic actions and technology	ножницы		rus
92	Russian_Dict	Other_Dict	the blanket	The house	одеяло		rus
93	Russian_Dict	Other_Dict	the fermented drink	Food and drink	буза		rus
94	Russian_Dict	Other_Dict	the key	The house	ключ		rus
95	Russian_Dict	Other_Dict	the goose	Animals	гусь		rus
96	Russian_Dict	Other_Dict	the sea	The physical world	море		rus
97	Russian_Dict	Other_Dict	the garden	Agriculture and vegetation	сад		rus
98	Russian_Dict	Other_Dict	the duck	Animals	утка		rus
99	Russian_Dict	Other_Dict	the arch	The house	арка		rus
100	Russian_Dict	Other_Dict	the wheel	Motion	колесо		rus
101	Russian_Dict	Other_Dict	the grape	Food and drink	виноград		rus
102	Russian_Dict	Other_Dict	the hammer	Basic actions and technology	молоток		rus
103	Russian_Dict	Other_Dict	the clan	Social and political relations	тухум		rus
104	Russian_Dict	Other_Dict	the clan	Social and political relations	род		rus
105	Russian_Dict	Other_Dict	the poison	The body	яд		rus
106	Russian_Dict	Other_Dict	the boundary	Social and political relations	граница		rus
107	Russian_Dict	Other_Dict	the boundary	Social and political relations	межа		rus
108	Russian_Dict	Other_Dict	the guard	Warfare and hunting	охрана		rus
109	Russian_Dict	Other_Dict	the guard	Warfare and hunting	охранник		rus
110	Russian_Dict	Other_Dict	the guard	Warfare and hunting	караульный	?)	rus
111	Russian_Dict	Other_Dict	the sledge/sled	Motion	санки		rus
112	Russian_Dict	Other_Dict	the price	Possession	цена		rus
113	Russian_Dict	Other_Dict	the saw	Basic actions and technology	пила		rus
114	Russian_Dict	Other_Dict	the medicine	The body	лекарство		rus
115	Russian_Dict	Other_Dict	the potato	Food and drink	картошка		rus
116	Russian_Dict	Other_Dict	the family	Kinship	семья		rus
117	Russian_Dict	Other_Dict	the glue	Basic actions and technology	клей		rus
118	Russian_Dict	Other_Dict	the bridge	Motion	мост		rus
119	Russian_Dict	Other_Dict	the friend	Social and political relations	друг		rus
120	Russian_Dict	Other_Dict	the friend	Social and political relations	приятель		rus
121	Russian_Dict	Other_Dict	the nail	Basic actions and technology	гвоздь		rus
122	Russian_Dict	Other_Dict	the fork(2)/pitchfork	Agriculture and vegetation	вилы		rus
123	Russian_Dict	Other_Dict	the yoke	Motion	хомут		rus
124	Russian_Dict	Other_Dict	the tongs	Food and drink	щипцы		rus
125	Russian_Dict	Other_Dict	the tongs	Food and drink	клещи		rus
126	Russian_Dict	Other_Dict	the pumpkin or squash	Agriculture and vegetation	тыква		rus
127	Russian_Dict	Other_Dict	the spoon	Food and drink	ложка		rus
128	Russian_Dict	Other_Dict	the soul or spirit	Emotions and values	душа		rus
129	Russian_Dict	Other_Dict	the soul or spirit	Emotions and values	дух		rus
130	Russian_Dict	Other_Dict	the mirror	Clothing and grooming	зеркало		rus
131	Russian_Dict	Other_Dict	the drum	Speech and language	барабан		rus
132	Russian_Dict	Other_Dict	the maize/corn	Agriculture and vegetation	кукуруза		rus
133	Russian_Dict	Other_Dict	the felt	Clothing and grooming	войлок		rus
134	Russian_Dict	Other_Dict	the master	Social and political relations	хозяин		rus
135	Russian_Dict	Other_Dict	the slave	Social and political relations	раб		rus
136	Russian_Dict	Other_Dict	the needle(1)	Clothing and grooming	игла		rus
137	Russian_Dict	Other_Dict	the corpse	The body	труп		rus
138	Russian_Dict	Other_Dict	the work	Basic actions and technology	работа		rus
139	Russian_Dict	Other_Dict	the flour	Food and drink	мука	пшеничная)	rus
140	Russian_Dict	Other_Dict	the axe/ax	Basic actions and technology	топор		rus
141	Russian_Dict	Other_Dict	the floor	The house	пол		rus
142	Russian_Dict	Other_Dict	the cat	Animals	кошка		rus
143	Russian_Dict	Other_Dict	the wall	The house	стена		rus
144	Russian_Dict	Other_Dict	the cattle	Animals	крупный рогатый скот		rus
145	Russian_Dict	Other_Dict	the debt	Possession	долг		rus
146	Russian_Dict	Other_Dict	the uncle	Kinship	дядя		rus
147	Russian_Dict	Other_Dict	the pig	Animals	свинья		rus
148	Russian_Dict	Other_Dict	the cock/rooster	Animals	петух		rus
149	Russian_Dict	Other_Dict	the belt	Clothing and grooming	ремень		rus
150	Russian_Dict	Other_Dict	the belt	Clothing and grooming	пояс		rus
151	Russian_Dict	Other_Dict	the oak	Animals	дуб		rus
152	Russian_Dict	Other_Dict	the thread	Clothing and grooming	нитка		rus
153	Russian_Dict	Other_Dict	the iron	Basic actions and technology	железо		rus
154	Russian_Dict	Other_Dict	the grandmother	Kinship	бабушка	обращение)	rus
155	Russian_Dict	Other_Dict	the wolf	Animals	волк		rus
156	Russian_Dict	Other_Dict	the widow	Kinship	вдова		rus
157	Russian_Dict	Other_Dict	the grandfather	Kinship	дедушка	обращение)	rus
