List_ID	DataType	ID	Name	Family	SubGroup	Glottocode	Village	Latitude	Longitude	District	Source
1	Dictionary	Russian_Dict	Russian	Indo-European	Slavic	russ1263	Expert	59	50	Expert	chechuropc
2	Dictionary	Azerbaijani_Dict	Azerbaijani	Altaic	Turkic	nort2697	Dictionary	40.97767	46.4737	Dictionary	azeridict
3	Dictionary	Georgian_Dict	Georgian	Kartvelian	Kartvelian	nucl1302	Dictionary	41.81574	44.31883	Dictionary	geodict
4	Dictionary	Kumyk_Dict	Kumyk	Altaic	Turkic	kumy1244	Dictionary	43	47	Dictionary	kumdict
5	Dictionary	Rutul_Dict	Rutul	East-Caucasian	Lezgic	rutu1240	Dictionary	41.61866	47.32436	Dictionary	rutuldict
6	Dictionary	Tsez_Dict	Tsez	East-Caucasian	Tsezic	dido1241	Dictionary	42.26458	45.80959	Dictionary	tsezdict
7	Dictionary	Hinuq_Dict	Hinuq	East-Caucasian	Tsezic	hinu1240	Dictionary	42.1764	45.98646	Dictionary	hinuqdict
8	Speaker	Bezhta_B	Bezhta	East-Caucasian	Tsezic	bezh1248	Bezhta	42.1339	46.1247	Tsezic	chechurofielddata
9	Speaker	Hinuq_M	Hinuq	East-Caucasian	Tsezic	hinu1240	Hinuq	42.1764	45.98646	Tsezic	chechurofielddata
10	Speaker	Tsez_A	Tsez	East-Caucasian	Tsezic	dido1241	Kidero	42.192430	45.959992	Tsezic	chechurofielddata
11	Speaker	Rutul_V	Rutul	East-Caucasian	Lezgic	rutu1240	Rutul	41.5342	47.4269	Rutul	chechurofielddata
12	Speaker	Rutul_J	Rutul	East-Caucasian	Lezgic	rutu1240	Ikhrek	41.693931	47.210005	Rutul	chechurofielddata
13	Speaker	Rutul_A	Rutul	East-Caucasian	Lezgic	rutu1240	Ikhrek	41.693931	47.210005	Rutul	chechurofielddata
14	Speaker	Rutul_Z	Rutul	East-Caucasian	Lezgic	rutu1240	Ikhrek	41.693931	47.210005	Rutul	chechurofielddata
15	Speaker	Rutul_S	Rutul	East-Caucasian	Lezgic	rutu1240	Ikhrek	41.693931	47.210005	Rutul	chechurofielddata
16	Speaker	Rutul_N	Rutul	East-Caucasian	Lezgic	rutu1240	Kina	41.6166	47.2647	Rutul	chechurofielddata
17	Speaker	Rutul_M	Rutul	East-Caucasian	Lezgic	rutu1240	Kina	41.6166	47.2647	Rutul	chechurofielddata
18	Speaker	Rutul_MS	Rutul	East-Caucasian	Lezgic	rutu1240	Kina	41.6166	47.2647	Rutul	chechurofielddata
19	Speaker	Rutul_SZH	Rutul	East-Caucasian	Lezgic	rutu1240	Kiche	41.53146	47.48171	Rutul	chechurofielddata
20	Speaker	Rutul_SFL	Rutul	East-Caucasian	Lezgic	rutu1240	Kiche	41.53146	47.48171	Rutul	chechurofielddata
